City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Cristobal,VE,26.1,overcast clouds,7.7669,-72.225,Pirineos
4,Puerto Colombia,CO,31.05,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
7,Abu Dhabi,AE,31.01,clear sky,24.4667,54.3667,Beach Rotana
14,Padang,ID,24.47,overcast clouds,-0.9492,100.3543,Mercure Padang
17,Sao Filipe,CV,25.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
19,Touros,BR,25.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
20,Hithadhoo,MV,27.5,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Pitimbu,BR,25.33,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
23,Praia,CV,26.3,broken clouds,14.9215,-23.5087,LT Aparthotel
25,Sinazongwe,ZM,25.2,clear sky,-17.2614,27.4618,Lakeview Lodge
27,Amapa,BR,30.93,overcast clouds,1.0,-52.0,
30,Vallenar,CL,25.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
33,El Doncello,CO,28.79,scattered clouds,1.6782,-75.2847,Colombia
38,Kaduna,NG,22.19,broken clouds,10.5222,7.4383,HAMDALA HOTEL
39,Vila Velha,BR,24.97,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
41,Kalabo,ZM,22.91,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
42,Manono,CD,24.29,overcast clouds,-7.3,27.4167,Hotel hewa bora
44,Thompson,CA,22.09,scattered clouds,55.7435,-97.8558,Burntwood Hotel
45,Puerto Del Rosario,ES,22.86,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
46,Tabou,CI,24.3,broken clouds,4.423,-7.3528,hotêl doufoulougou
47,Victoria,HK,28.51,few clouds,22.2855,114.1577,Mini Central
50,Georgetown,MY,26.96,light rain,5.4112,100.3354,Cititel Penang
51,Bathsheba,BB,28.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
56,Saint George,US,29.68,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
57,Cascais,PT,25.64,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
58,Caravelas,BR,23.31,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
59,Ponta Do Sol,PT,22.62,scattered clouds,32.6667,-17.1,Hotel do Campo
61,Bonfim,BR,27.54,overcast clouds,3.0833,-59.95,
63,Oriximina,BR,31.97,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
65,Nokaneng,BW,24.08,clear sky,-19.6667,22.2667,
66,Kavaratti,IN,26.68,overcast clouds,10.5669,72.642,Green leaf
75,Kudahuvadhoo,MV,27.28,light rain,2.6708,72.8944,Niyama Private Islands Maldives
78,Sanford,US,31.81,clear sky,28.8006,-81.2731,Best Western Plus Sanford Airport/Lake Mary Hotel
80,Sabha,LY,29.28,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
81,Oum Hadjer,TD,30.99,clear sky,13.2954,19.6966,
82,Mecca,SA,27.5,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
83,Cockburn Town,TC,28.78,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
86,Afzalgarh,IN,23.57,clear sky,29.4,78.6833,RGRK AGRICULTURE FARM
96,Vila Franca Do Campo,PT,23.44,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Thinadhoo,MV,27.9,overcast clouds,0.5333,72.9333,
98,Bayir,TR,22.29,clear sky,37.2687,28.2167,Hotel Babadag
100,Ahvaz,IR,26.97,clear sky,31.3203,48.6693,tashrifat tourism travel agency
101,Porto Novo,BJ,24.9,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
102,Cartagena,CO,30.79,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
104,Bosaso,SO,30.18,overcast clouds,11.2842,49.1816,Red Sea Hotel
108,Saint Anthony,US,23.87,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
112,Moville,US,26.8,few clouds,42.4889,-96.0725,EastSide Acres Mobile Home Park
119,Harper,LR,24.46,light rain,4.375,-7.7169,Screensaver
122,Laguna,US,27.83,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
125,Fortaleza,BR,28.07,clear sky,-3.7227,-38.5247,Hotel Sonata de Iracema
126,Maceio,BR,25.69,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
127,Kalemie,CD,25.21,overcast clouds,-5.9475,29.1947,Mahobilali
129,Isabela,PH,25.89,overcast clouds,6.7085,121.9711,Isawad Resort
130,Fuerte Olimpo,PY,28.9,clear sky,-21.0415,-57.8738,Hospedaje DAMI
133,Nouadhibou,MR,23.99,sand,20.931,-17.0347,El Medina
135,Yenagoa,NG,23.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
138,Dingle,PH,24.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
139,Governador Valadares,BR,28.55,scattered clouds,-18.8511,-41.9494,Hotel Panorama
140,Eatonton,US,27.35,scattered clouds,33.3268,-83.3885,Western Motel of Eatonton
146,Abaete,BR,25.64,broken clouds,-19.16,-45.4458,Hotel Millenium
155,Mitu,CO,27.42,light rain,1.1983,-70.1733,
160,Ovalle,CL,24.54,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
164,Sao Gabriel Da Cachoeira,BR,29.89,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
165,Vigia,BR,25.93,heavy intensity rain,-0.8583,-48.1417,Hotel Bom Jesus
167,Inirida,CO,27.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
170,Melilla,ES,22.21,scattered clouds,35.2937,-2.9383,Hotel Anfora
171,Cabedelo,BR,25.37,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
176,Suleja,NG,23.16,broken clouds,9.1758,7.1808,Capy Motel
177,Kita,ML,24.19,light rain,13.0349,-9.4895,Hôtel Chat Rouge
179,Awbari,LY,28.95,clear sky,26.5921,12.7805,استراحة الشارب العائلي
181,Kattivakkam,IN,29.05,overcast clouds,13.2167,80.3167,Euronova Freezer
185,Presidente Epitacio,BR,26.22,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
186,Oron,NG,23.51,broken clouds,4.8256,8.2343,Aqua Belloni Lodge
187,Jalu,LY,28.94,clear sky,29.0331,21.5482,صاحبة الفخامة
188,Port-Gentil,GA,25.98,scattered clouds,-0.7193,8.7815,Fengshui Residence
193,Oeiras Do Para,BR,30.76,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
194,Zuwarah,LY,23.35,clear sky,32.9312,12.082,تيدارت انغ
196,Sao Caetano De Odivelas,BR,26.51,moderate rain,-0.75,-48.02,Lá Kitano
204,Tarrafal,CV,26.44,scattered clouds,15.2833,-23.7667,Hotel Ixola
205,Sinnamary,GF,27.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Belmonte,BR,24.46,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
208,Riyadh,SA,26.08,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
209,Masunga,BW,22.37,clear sky,-20.6246,27.4488,
210,San Rafael,AR,27.73,clear sky,-34.6177,-68.3301,Hotel San Rafael
211,Muzaffargarh,PK,27.01,clear sky,30.0754,71.1921,NewAghosh hotel and restaurant
212,Cayce,US,23.53,broken clouds,33.9657,-81.074,Fairfield by Marriott Inn & Suites Columbia Downtown
213,Brokopondo,SR,30.37,light rain,4.75,-55.1667,Matu Island
216,Loandjili,CG,24.75,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
217,Bonthe,SL,24.58,moderate rain,7.5264,-12.505,Bonthe Holiday Village
219,Mwense,ZM,24.63,clear sky,-10.3845,28.698,Mwense Council Guest House
220,Point Pedro,LK,27.49,overcast clouds,9.8167,80.2333,Gtr homes
224,Bubaque,GW,27.42,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
225,Hukuntsi,BW,25.04,clear sky,-24.0,21.75,Its me guest house
226,Hindoria,IN,22.6,scattered clouds,23.9,79.5667,जहान होटल
228,Bandarbeyla,SO,25.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
231,Soyo,AO,24.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
233,Mayor Pablo Lagerenza,PY,29.98,broken clouds,-19.9309,-60.7718,
235,Chiman,PK,24.63,clear sky,32.5463,73.8138,Master Muhammad zafar iqbal
236,Takoradi,GH,24.17,few clouds,4.8845,-1.7554,Raybow International Hotel
237,Puerto Carreno,CO,28.99,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
243,Jaciara,BR,27.02,overcast clouds,-15.9653,-54.9683,Taba Hotel
252,Hansi,IN,26.66,clear sky,29.1,75.9667,Green Valley Lodge
253,Kohlu,PK,22.64,clear sky,29.8962,69.252,B &R Rest House
256,Maragogi,BR,23.97,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
259,Boa Vista,BR,22.99,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
264,Olinda,BR,24.85,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
266,Salalah,OM,27.05,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
269,Sur,OM,26.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
273,Moultrie,US,29.9,clear sky,31.1799,-83.7891,Moultrie Inn
277,Linden,GY,26.78,overcast clouds,6.0,-58.3,Crimson Bat Hotel
279,San Ramon De La Nueva Oran,AR,24.68,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
280,Guanica,PR,30.59,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
283,Pasni,PK,26.28,clear sky,25.2631,63.471,Kashmiri Hotal
284,Ghanzi,BW,23.23,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
288,Hilton Head Island,US,23.03,overcast clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
291,Itarema,BR,25.52,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
292,Sao Paulo De Olivenca,BR,24.93,overcast clouds,-3.3783,-68.8725,
293,Tucupita,VE,29.0,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
296,General Roca,AR,24.79,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
298,Narayanpet,IN,23.81,scattered clouds,16.7333,77.5,Vasundra tiffins
300,Veraval,IN,26.2,few clouds,20.9,70.3667,Lords Inn Somnath
301,Puerto Leguizamo,CO,28.56,overcast clouds,-0.1934,-74.7819,la casona de juancho
302,Kyabe,TD,23.66,light rain,9.4515,18.9449,
303,Labrea,BR,29.55,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
307,Kontagora,NG,23.78,broken clouds,10.3999,5.4695,Queens Guest Inn
308,Iberia,US,29.0,clear sky,29.9502,-91.7507,back to back rv park
310,Artyom,AZ,22.08,clear sky,40.4723,50.333,Yusif 10 A
317,Guaruja,BR,22.16,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
320,Hambantota,LK,26.63,overcast clouds,6.1241,81.1185,Bungalow 63
323,Luanda,AO,24.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
326,Bengkulu,ID,23.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
328,Lahij,YE,30.94,overcast clouds,13.1667,44.5833,
331,Paonta Sahib,IN,23.36,clear sky,30.45,77.6167,OYO 37501 The Brighton Hotel
332,Carbondale,US,26.14,clear sky,37.7273,-89.2168,Best Western Saluki Inn
335,Hattiesburg,US,29.27,clear sky,31.3271,-89.2903,Quality Inn & Suites
338,Trincomalee,LK,26.9,overcast clouds,8.5711,81.2335,Welcombe Hotel
340,Salinopolis,BR,27.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
341,Sechura,PE,22.28,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
343,Rondonopolis,BR,27.47,overcast clouds,-16.4708,-54.6356,Serras Hotel
344,Presidencia Roque Saenz Pena,AR,28.7,clear sky,-26.7852,-60.4388,Hotel Gualok
346,Santiago Del Estero,AR,29.23,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
347,Qrendi,MT,22.84,few clouds,35.8347,14.4583,M'Anglu
349,Tutoia,BR,26.24,few clouds,-2.7619,-42.2744,Pousada Guará's
350,Tahoua,NE,27.99,clear sky,14.8888,5.2692,Bungalows Guesthouse
352,Port Blair,IN,27.1,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
353,Matara,LK,25.52,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
356,Pafos,CY,24.02,clear sky,34.7667,32.4167,Elysium Hotel
358,Nkhata Bay,MW,22.85,clear sky,-11.6066,34.2907,Mayoka Village
359,Sindgi,IN,24.79,broken clouds,16.9167,76.2333,Sindagi
362,Tocache,PE,30.18,overcast clouds,-8.1842,-76.5125,Residencial JATER
363,Pathardi,IN,22.48,clear sky,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
369,Sao Joao Da Barra,BR,25.05,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
373,Augusto Correa,BR,27.12,broken clouds,-1.0217,-46.635,Fazenda Bacuri
376,Kismayo,SO,24.43,broken clouds,-0.3582,42.5454,Agan-Hotel
381,Tigzirt,DZ,23.18,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
382,Itinga,BR,29.52,broken clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
384,Tarpon Springs,US,30.05,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
388,Buchanan,LR,24.58,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
392,Najran,SA,22.36,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
394,Jutai,BR,26.22,light rain,-5.1833,-68.9,
398,Mana,GF,27.69,overcast clouds,5.6592,-53.7767,LE SAMANA
402,Porto De Moz,BR,30.78,overcast clouds,-1.7483,-52.2383,Dormitório labelle
403,Bushehr,IR,28.05,clear sky,28.9684,50.8385,Yas Hotel
405,Saint-Georges,GD,30.82,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
407,Puri,IN,26.29,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
409,Englewood,US,24.1,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
411,Grand-Lahou,CI,23.93,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
414,Almirante,PA,27.66,overcast clouds,9.3,-82.4,Hotel 888
419,Rajura,IN,23.25,overcast clouds,19.7833,79.3667,Bharat Lodge And Restaurant
421,Gamba,GA,24.45,overcast clouds,-2.65,10.0,
422,Barcelos,PT,22.14,scattered clouds,41.5388,-8.6151,Hotel Do Terço
423,Lamu,KE,24.12,broken clouds,-2.2717,40.902,Lamu House
424,Collierville,US,27.62,clear sky,35.042,-89.6645,Hampton Inn Memphis/Collierville
426,Nokha,IN,27.48,clear sky,27.6,73.4167,Gurukarpa Hotel
427,Yagoua,CM,26.05,broken clouds,10.3411,15.2329,Sahel Hotel
428,San Luis,AR,25.74,scattered clouds,-33.295,-66.3356,Huarpes Hotel
429,Jacareacanga,BR,26.13,light rain,-6.2222,-57.7528,Casa do Ian😎
434,Bud,US,23.25,clear sky,39.447,-86.1758,Ted McQuinn Trust
437,Matadi,CD,25.91,broken clouds,-5.8167,13.45,Hotel Vivi Palace
439,Odweyne,SO,24.06,scattered clouds,9.4092,45.064,Eng Hiirey House
440,Nador,MA,22.14,broken clouds,35.174,-2.9287,Hôtel La Giralda
443,Conde,BR,24.7,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
452,Resistencia,AR,28.03,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
453,Mabaruma,GY,27.89,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
454,Kang,BW,24.09,clear sky,-23.6752,22.7876,Kang Ultra Stop
455,Ponta Delgada,PT,23.61,few clouds,37.7333,-25.6667,Vila Nova Hotel
460,Saquarema,BR,22.08,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
464,High Rock,BS,26.01,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
467,Hurghada,EG,30.02,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
474,Mauganj,IN,25.02,scattered clouds,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
476,Koungheul,SN,28.34,overcast clouds,13.9833,-14.8,hotel le PARADIS
477,Bloomingdale,US,30.18,clear sky,27.8936,-82.2404,Travel Club for Free
478,Gumia,IN,25.21,overcast clouds,23.7833,85.8167,Veer Mistan
479,Barreiras,BR,31.38,overcast clouds,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
480,Soubre,CI,22.27,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
482,Calderitas,MX,28.23,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
483,Dothan,US,30.58,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
484,Miranda,CO,29.07,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
488,Buraydah,SA,27.25,clear sky,26.326,43.975,Mövenpick Qassim
489,Avanigadda,IN,24.5,overcast clouds,16.0215,80.9181,AP Camping
490,Gusau,NG,26.52,overcast clouds,12.1628,6.6614,GUEST INN
494,Evora,PT,22.59,scattered clouds,38.5667,-7.9,Hotel M'Ar de Ar Muralhas
495,Savannah Bight,HN,26.91,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
499,Pontes E Lacerda,BR,29.08,overcast clouds,-15.2261,-59.3353,Hotel Bressan
500,Alta Gracia,AR,27.16,few clouds,-31.6529,-64.4283,Hotel Ritz
502,Caxito,AO,23.94,overcast clouds,-8.5785,13.6643,
511,Robertsport,LR,25.07,moderate rain,6.7533,-11.3686,Kwepunha Retreat
513,Piacabucu,BR,23.42,clear sky,-10.4056,-36.4344,Piaçabuçu News
518,Dezful,IR,29.09,clear sky,32.3811,48.4058,مهمانپذیر خوزستان
519,Damaturu,NG,28.95,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
520,West Bay,KY,31.04,few clouds,19.3667,-81.4167,Calypso Cove
523,Okitipupa,NG,22.52,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
527,Karachi,PK,25.9,broken clouds,24.9056,67.0822,Sadaat
530,Morondava,MG,22.91,clear sky,-20.2833,44.2833,La Case Bambou
532,Buritis,BR,30.58,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
533,Darab,IR,24.14,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
536,Pedernales,DO,29.98,overcast clouds,18.0384,-71.744,Hotel Costa Marina
540,Zinder,NE,31.71,broken clouds,13.8072,8.9881,Hotel de Ville
542,Carutapera,BR,27.06,scattered clouds,-1.195,-46.02,Lidera
550,Nepa Nagar,IN,24.28,broken clouds,21.4667,76.4,Nemade Farm House Siwal
551,Faro,PT,23.31,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
552,Praia Da Vitoria,PT,22.09,broken clouds,38.7333,-27.0667,Hotel Branco I
554,Barra Do Garcas,BR,27.32,moderate rain,-15.89,-52.2567,Pousada Tropical
558,Aden,YE,31.81,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
561,Linares,CL,23.89,few clouds,-35.85,-71.6,Hotel Real
562,Nicoya,CR,26.07,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
567,Zaraza,VE,28.98,overcast clouds,9.3503,-65.3245,Hotel Zaraza
569,Sao Felix Do Xingu,BR,29.71,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
572,Linhares,BR,23.3,broken clouds,-19.3911,-40.0722,Hotel Conceição
574,San Ramon,US,25.51,clear sky,37.7799,-121.978,San Ramon Marriott
576,Mapiripan,CO,30.37,broken clouds,2.8892,-72.1256,Monserrate
583,Conakry,GN,27.04,broken clouds,9.538,-13.6773,Riviera Royal Hotel
587,Manyana,BW,23.71,clear sky,-23.4,21.7167,
591,Covington,US,22.35,few clouds,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
593,Nisia Floresta,BR,28.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
594,Isla Mujeres,MX,30.09,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
595,Ladnun,IN,27.48,clear sky,27.65,74.3833,Varsha Sanjay Sadan
596,Sivagiri,IN,25.25,overcast clouds,9.3333,77.4333,GANESHAN FOOD MANUFACTUR
599,Elat,IL,30.91,clear sky,29.5581,34.9482,Club Hotel Eilat
601,Catamarca,AR,28.92,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
602,Nouakchott,MR,27.48,clear sky,18.0858,-15.9785,HOTEL IMAN
603,Trairi,BR,25.57,clear sky,-3.2778,-39.2689,janelas do mar
604,Angoche,MZ,23.93,clear sky,-16.2325,39.9086,Guest House HESADA
605,Corn Island,NI,27.72,overcast clouds,12.1694,-83.0418,Big Fish Guest House
606,Huanta,PE,23.22,broken clouds,-12.9333,-74.25,GRAN HOTEL IMPERIAL
607,Nioro,GM,25.83,light rain,13.35,-15.75,
609,Parana,AR,28.64,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
610,Hobyo,SO,24.69,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
621,Cotonou,BJ,24.99,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
624,Iracoubo,GF,27.54,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
626,Nikki,BJ,23.14,light rain,9.9401,3.2108,Monnon
630,Grand-Santi,GF,30.13,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
637,Dwarka,IN,27.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
638,Guanare,VE,28.93,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
640,Upington,ZA,23.21,clear sky,-28.4478,21.2561,River Place Manor
642,Camapua,BR,27.94,broken clouds,-19.5314,-54.0439,Comercial Estrela
646,Santa Cruz De La Palma,ES,23.08,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
649,Prieska,ZA,24.01,clear sky,-29.6641,22.7474,Avenue GuestHouse
650,Kumluca,TR,26.09,clear sky,36.3703,30.2869,Akkol Apart
651,Siguiri,GN,24.14,light rain,11.6667,-9.5,
653,Tadpatri,IN,25.64,overcast clouds,14.9167,78.0167,Hotel Sri Ranga Lodge
658,Moron De La Frontera,ES,25.22,few clouds,37.1208,-5.454,La Morona Hotel
661,Bernal,PE,23.94,scattered clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
